2016-04-05 23:53:00.239000::::
[ 1 ][i:30][Diff: 0 ][Dist: 6851][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-05 23:54:02.658000::::
[ 2 ][i:30][Diff: 5 ][Dist: 6856][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-05 23:55:05.186000::::
[ 3 ][i:30][Diff: 0 ][Dist: 6856][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-05 23:56:07.427000::::
[ 4 ][i:30][Diff: 7 ][Dist: 6849][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-05 23:57:09.445000::::
[ 5 ][i:30][Diff: 0 ][Dist: 6850][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-05 23:58:11.531000::::
[ 6 ][i:30][Diff: 0 ][Dist: 6849][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-05 23:59:13.547000::::
[ 7 ][i:30][Diff: 0 ][Dist: 6849][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-06 00:00:15.645000::::
[ 8 ][i:30][Diff: 1 ][Dist: 6847][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-06 00:01:17.733000::::
[ 9 ][i:30][Diff: 5 ][Dist: 6853][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-06 00:02:19.816000::::
[ 10 ][i:30][Diff: 0 ][Dist: 6852][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-06 00:03:21.856000::::
[ 11 ][i:30][Diff: 0 ][Dist: 6852][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-06 00:04:24.158000::::
[ 12 ][i:30][Diff: 0 ][Dist: 6852][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]2016-04-06 00:04:59.333000::::
[ 1 ][i:30][Diff: 0 ][Dist: 6852][Adres: 38, Bohaterów Monte Cassino, Sopot Dolny, Sopot, pomorskie, 81-759, Polska]
